Dist,Fairway,Rough,Sand,Recovery,Green,Tee
495,3.7,3.74,3.81,5.138,,4.36
496,3.7,3.74,3.81,5.144,,4.37
497,3.7,3.74,3.81,5.15,,4.38
498,3.7,3.74,3.81,5.157,,4.39
499,3.7,3.74,3.81,5.164,,4.4
500,3.7,3.74,3.81,5.17,,4.407
501,3.7,3.74,3.81,5.176,,4.413
502,3.7,3.74,3.81,5.183,,4.42
503,3.7,3.74,3.81,5.19,,4.427
504,3.7,3.74,3.81,5.196,,4.434
505,3.7,3.74,3.81,5.202,,4.441
506,3.7,3.74,3.81,5.209,,4.449
507,3.7,3.74,3.81,5.216,,4.456
508,3.7,3.74,3.81,5.222,,4.463
509,3.7,3.74,3.81,5.228,,4.47
510,3.7,3.74,3.81,5.235,,4.48
511,3.7,3.74,3.81,5.242,,4.488
512,3.7,3.74,3.81,5.248,,4.495
513,3.7,3.74,3.81,5.254,,4.502
514,3.7,3.74,3.81,5.261,,4.51
515,3.7,3.74,3.81,5.268,,4.52
516,3.7,3.74,3.81,5.274,,4.526
517,3.7,3.74,3.81,5.28,,4.532
518,3.7,3.74,3.81,5.287,,4.538
519,3.7,3.74,3.81,5.294,,4.544
520,3.7,3.74,3.81,5.3,,4.55
521,3.7,3.74,3.81,5.306,,4.555
522,3.7,3.74,3.81,5.312,,4.56
523,3.7,3.74,3.81,5.318,,4.565
524,3.7,3.74,3.81,5.324,,4.57
525,3.7,3.74,3.81,5.33,,4.575
526,3.7,3.74,3.81,5.336,,4.58
527,3.7,3.74,3.81,5.342,,4.585
528,3.7,3.74,3.81,5.348,,4.59
529,3.7,3.74,3.81,5.354,,4.595
530,3.7,3.74,3.81,5.36,,4.6
531,3.7,3.74,3.81,5.366,,4.605
532,3.7,3.74,3.81,5.372,,4.61
533,3.7,3.74,3.81,5.378,,4.617
534,3.7,3.74,3.81,5.384,,4.623
535,3.7,3.74,3.81,5.39,,4.63
536,3.7,3.74,3.81,5.396,,4.634
537,3.7,3.74,3.81,5.402,,4.639
538,3.7,3.74,3.81,5.408,,4.643
539,3.7,3.74,3.81,5.414,,4.648
540,3.7,3.74,3.81,5.42,,4.652
541,3.7,3.74,3.81,5.424,,4.657
542,3.7,3.74,3.81,5.428,,4.662
543,3.7,3.74,3.81,5.432,,4.666
544,3.7,3.74,3.81,5.436,,4.67
545,3.7,3.74,3.81,5.44,,4.675
546,3.7,3.74,3.81,5.444,,4.68
547,3.7,3.74,3.81,5.448,,4.684
548,3.7,3.74,3.81,5.452,,4.688
549,3.7,3.74,3.81,5.456,,4.693
550,3.7,3.74,3.81,5.46,,4.698
